Year,Age Group,Number of Births
2015,15-19 years,204043
2014,15-19 years,220634
2013,15-19 years,242167
2012,15-19 years,270843
2011,15-19 years,291736
2010,15-19 years,323862
2009,15-19 years,357474
2008,15-19 years,376844
2007,15-19 years,380499
2006,15-19 years,366588
2005,15-19 years,345413
2004,15-19 years,342188
2003,15-19 years,337201
2002,15-19 years,340186
2001,15-19 years,352026
2000,15-19 years,369456
1999,15-19 years,374485
1998,15-19 years,380868
1997,15-19 years,376117
1996,15-19 years,373289
1995,15-19 years,375738
1994,15-19 years,381499
1993,15-19 years,357432
1992,15-19 years,353878
1991,15-19 years,357483
1990,15-19 years,349970
1989,15-19 years,337268
1988,15-19 years,312499
1987,15-19 years,292958
1986,15-19 years,280720
1985,15-19 years,270922
1984,15-19 years,261104
1983,15-19 years,261260
1982,15-19 years,260626
1981,15-19 years,259239
1980,15-19 years,262777
1979,15-19 years,253200
1978,15-19 years,239700
1977,15-19 years,239700
1976,15-19 years,225000
1975,15-19 years,222500
1974,15-19 years,210800
1973,15-19 years,204900
1972,15-19 years,202300
1971,15-19 years,194100
1970,15-19 years,190400
1969,15-19 years,168200
1968,15-19 years,158000
1967,15-19 years,144400
1966,15-19 years,135800
1965,15-19 years,123200
1964,15-19 years,111400
1963,15-19 years,101800
1962,15-19 years,94400
1961,15-19 years,93200
1960,15-19 years,87100
1959,15-19 years,84500
1958,15-19 years,79400
1957,15-19 years,76400
1956,15-19 years,72800
1955,15-19 years,68900
1954,15-19 years,67200
1953,15-19 years,61500
1952,15-19 years,58700
1951,15-19 years,57400
1950,15-19 years,56000
1940,15-19 years,40500
2015,20-24 years,560639
2014,20-24 years,579760
2013,20-24 years,586874
2012,20-24 years,593894
2011,20-24 years,592554
2010,20-24 years,600833
2009,20-24 years,624293
2008,20-24 years,640746
2007,20-24 years,644553
2006,20-24 years,625780
2005,20-24 years,584792
2004,20-24 years,566381
2003,20-24 years,549353
2002,20-24 years,527657
2001,20-24 years,514959
2000,20-24 years,503602
1999,20-24 years,476497
1998,20-24 years,460367
1997,20-24 years,438632
1996,20-24 years,431462
1995,20-24 years,432003
1994,20-24 years,449246
1993,20-24 years,438538
1992,20-24 years,435727
1991,20-24 years,429094
1990,20-24 years,403873
1989,20-24 years,378122
1988,20-24 years,350905
1987,20-24 years,331257
1986,20-24 years,316188
1985,20-24 years,300365
1984,20-24 years,279192
1983,20-24 years,265579
1982,20-24 years,257473
1981,20-24 years,246919
1980,20-24 years,237265
1979,20-24 years,210100
1978,20-24 years,186500
1977,20-24 years,168600
1976,20-24 years,145400
1975,20-24 years,134000
1974,20-24 years,122700
1973,20-24 years,119100
1972,20-24 years,119600
1971,20-24 years,125200
1970,20-24 years,126700
1969,20-24 years,116900
1968,20-24 years,107900
1967,20-24 years,101600
1966,20-24 years,92500
1965,20-24 years,90700
1964,20-24 years,87900
1963,20-24 years,82600
1962,20-24 years,77400
1961,20-24 years,74000
1960,20-24 years,68000
1959,20-24 years,67300
1958,20-24 years,62800
1957,20-24 years,60500
1956,20-24 years,58800
1955,20-24 years,55700
1954,20-24 years,53300
1953,20-24 years,48800
1952,20-24 years,45500
1951,20-24 years,43900
1950,20-24 years,43100
1940,20-24 years,27200
2015,25-29 years,435339
2014,25-29 years,419792
2013,25-29 years,401876
2012,25-29 years,393826
2011,25-29 years,387354
2010,25-29 years,384865
2009,25-29 years,394556
2008,25-29 years,397335
2007,25-29 years,389485
2006,25-29 years,366085
2005,25-29 years,331820
2004,25-29 years,307576
2003,25-29 years,287205
2002,25-29 years,268312
2001,25-29 years,257702
2000,25-29 years,255092
1999,25-29 years,246873
1998,25-29 years,243280
1997,25-29 years,234762
1996,25-29 years,235651
1995,25-29 years,228614
1994,25-29 years,237636
1993,25-29 years,233776
1992,25-29 years,233467
1991,25-29 years,234593
1990,25-29 years,229991
1989,25-29 years,215477
1988,25-29 years,196365
1987,25-29 years,179257
1986,25-29 years,165662
1985,25-29 years,152024
1984,25-29 years,136956
1983,25-29 years,126519
1982,25-29 years,118954
1981,25-29 years,109174
1980,25-29 years,99583
1979,25-29 years,80600
1978,25-29 years,70000
1977,25-29 years,62400
1976,25-29 years,55400
1975,25-29 years,50200
1974,25-29 years,44900
1973,25-29 years,43100
1972,25-29 years,41200
1971,25-29 years,40900
1970,25-29 years,40600
1969,25-29 years,37600
1968,25-29 years,35200
1967,25-29 years,34500
1966,25-29 years,35500
1965,25-29 years,36800
1964,25-29 years,36400
1963,25-29 years,35400
1962,25-29 years,34000
1961,25-29 years,33700
1960,25-29 years,32100
1959,25-29 years,32000
1958,25-29 years,30800
1957,25-29 years,29800
1956,25-29 years,29400
1955,25-29 years,28000
1954,25-29 years,26600
1953,25-29 years,24500
1952,25-29 years,22400
1951,25-29 years,22000
1950,25-29 years,20900
1940,25-29 years,10500
2015,30-34 years,252397
2014,30-34 years,243054
2013,30-34 years,231598
2012,30-34 years,222306
2011,30-34 years,212974
2010,30-34 years,203479
2009,30-34 years,198168
2008,30-34 years,193434
2007,30-34 years,185501
2006,30-34 years,173586
2005,30-34 years,161752
2004,30-34 years,155275
2003,30-34 years,147555
2002,30-34 years,139208
2001,30-34 years,135040
2000,30-34 years,130213
1999,30-34 years,124894
1998,30-34 years,124624
1997,30-34 years,124831
1996,30-34 years,133048
1995,30-34 years,133282
1994,30-34 years,136991
1993,30-34 years,132263
1992,30-34 years,127982
1991,30-34 years,123901
1990,30-34 years,118200
1989,30-34 years,106344
1988,30-34 years,94874
1987,30-34 years,84186
1986,30-34 years,74928
1985,30-34 years,67315
1984,30-34 years,59261
1983,30-34 years,53884
1982,30-34 years,49559
1981,30-34 years,45300
1980,30-34 years,40984
1979,30-34 years,31300
1978,30-34 years,26500
1977,30-34 years,23700
1976,30-34 years,21000
1975,30-34 years,19800
1974,30-34 years,18600
1973,30-34 years,18500
1972,30-34 years,19000
1971,30-34 years,19300
1970,30-34 years,19100
1969,30-34 years,17700
1968,30-34 years,17200
1967,30-34 years,17300
1966,30-34 years,18400
1965,30-34 years,19600
1964,30-34 years,19500
1963,30-34 years,19800
1962,30-34 years,19800
1961,30-34 years,19800
1960,30-34 years,18900
1959,30-34 years,19000
1958,30-34 years,18700
1957,30-34 years,18200
1956,30-34 years,17000
1955,30-34 years,16100
1954,30-34 years,15500
1953,30-34 years,13400
1952,30-34 years,12400
1951,30-34 years,11900
1950,30-34 years,10800
1940,30-34 years,5200
2015,35-39 years,116670
2014,35-39 years,110058
2013,35-39 years,102412
2012,35-39 years,97863
2011,35-39 years,93155
2010,35-39 years,91089
2009,35-39 years,89854
2008,35-39 years,88853
2007,35-39 years,86434
2006,35-39 years,81828
2005,35-39 years,75717
2004,35-39 years,72194
2003,35-39 years,69071
2002,35-39 years,66036
2001,35-39 years,65257
2000,35-39 years,64523
1999,35-39 years,62637
1998,35-39 years,61087
1997,35-39 years,59870
1996,35-39 years,62656
1995,35-39 years,60234
1994,35-39 years,59701
1993,35-39 years,55570
1992,35-39 years,52447
1991,35-39 years,48353
1990,35-39 years,44149
1989,35-39 years,39030
1988,35-39 years,34408
1987,35-39 years,30271
1986,35-39 years,26967
1985,35-39 years,24038
1984,35-39 years,20916
1983,35-39 years,18206
1982,35-39 years,16420
1981,35-39 years,14281
1980,35-39 years,13187
1979,35-39 years,10600
1978,35-39 years,9400
1977,35-39 years,8800
1976,35-39 years,8600
1975,35-39 years,8100
1974,35-39 years,8200
1973,35-39 years,8200
1972,35-39 years,8600
1971,35-39 years,9400
1970,35-39 years,9400
1969,35-39 years,9200
1968,35-39 years,9700
1967,35-39 years,10100
1966,35-39 years,10500
1965,35-39 years,11400
1964,35-39 years,11100
1963,35-39 years,10900
1962,35-39 years,11100
1961,35-39 years,11100
1960,35-39 years,10600
1959,35-39 years,10500
1958,35-39 years,9900
1957,35-39 years,9400
1956,35-39 years,8800
1955,35-39 years,8300
1954,35-39 years,7900
1953,35-39 years,7000
1952,35-39 years,6500
1951,35-39 years,6200
1950,35-39 years,6000
1940,35-39 years,3000
2015,40+ years,29950
2014,40+ years,28820
2013,40+ years,27874
2012,40+ years,27250
2011,40+ years,26061
2010,40+ years,24878
2009,40+ years,24333
2008,40+ years,23644
